Ax,Ay,Az,Gx,Gy,Gz,Label
-0.002,0.009,1.026,1.094,-3.640,-0.910,Idle
0.000,0.009,1.026,1.129,-3.631,-0.910,Idle
0.000,0.009,1.026,1.067,-3.622,-0.901,Idle
-0.003,0.009,1.026,1.050,-3.640,-0.892,Idle
-0.001,0.009,1.025,1.076,-3.640,-0.901,Idle
-0.002,0.009,1.025,1.102,-3.640,-0.892,Idle
-0.000,0.009,1.024,1.041,-3.622,-0.936,Idle
-0.002,0.009,1.027,1.120,-3.640,-0.910,Idle
-0.002,0.010,1.024,1.102,-3.640,-0.910,Idle
-0.001,0.009,1.027,1.094,-3.605,-0.928,Idle
-0.001,0.008,1.025,1.138,-3.649,-0.910,Idle
-0.004,0.008,1.024,1.033,-3.570,-0.936,Idle
-0.001,0.008,1.026,1.111,-3.658,-0.875,Idle
-0.000,0.010,1.026,1.102,-3.684,-0.919,Idle
-0.001,0.008,1.025,1.085,-3.649,-0.910,Idle
-0.002,0.008,1.027,1.094,-3.640,-0.919,Idle
-0.001,0.009,1.025,1.059,-3.640,-0.892,Idle
-0.001,0.009,1.026,1.085,-3.596,-0.928,Idle
-0.002,0.010,1.025,1.059,-3.622,-0.919,Idle
-0.003,0.009,1.024,1.059,-3.614,-0.866,Idle
-0.001,0.009,1.026,1.094,-3.631,-0.928,Idle
-0.001,0.009,1.026,1.085,-3.631,-0.892,Idle
-0.001,0.009,1.024,1.085,-3.605,-0.910,Idle
-0.001,0.009,1.024,1.102,-3.631,-0.945,Idle
-0.002,0.009,1.024,1.067,-3.605,-0.919,Idle
-0.001,0.008,1.026,1.111,-3.658,-0.910,Idle
-0.002,0.009,1.025,1.094,-3.631,-0.936,Idle
-0.001,0.008,1.025,1.041,-3.631,-0.980,Idle
-0.001,0.009,1.026,1.094,-3.649,-0.892,Idle
-0.002,0.008,1.025,1.050,-3.570,-0.936,Idle
-0.003,0.009,1.027,1.085,-3.658,-0.945,Idle
-0.001,0.009,1.024,1.085,-3.640,-0.919,Idle
-0.001,0.009,1.026,1.094,-3.605,-0.892,Idle
-0.001,0.009,1.026,1.102,-3.579,-0.936,Idle
-0.001,0.009,1.025,1.059,-3.605,-0.866,Idle
-0.001,0.009,1.025,1.076,-3.622,-0.901,Idle
-0.000,0.009,1.027,1.094,-3.684,-0.962,Idle
-0.001,0.009,1.026,1.102,-3.640,-0.928,Idle
-0.002,0.009,1.025,1.059,-3.596,-0.954,Idle
-0.001,0.009,1.024,1.085,-3.622,-0.954,Idle
-0.000,0.009,1.024,1.076,-3.649,-0.884,Idle
-0.002,0.009,1.026,1.067,-3.622,-0.919,Idle
-0.001,0.009,1.025,1.102,-3.570,-0.936,Idle
-0.001,0.008,1.025,1.050,-3.614,-0.936,Idle
-0.000,0.009,1.024,1.041,-3.596,-0.884,Idle
-0.001,0.008,1.027,1.085,-3.631,-0.936,Idle
-0.002,0.009,1.025,1.059,-3.605,-0.884,Idle
-0.001,0.008,1.026,1.129,-3.640,-0.945,Idle
-0.002,0.009,1.026,1.102,-3.631,-0.945,Idle
-0.001,0.010,1.027,1.111,-3.622,-0.884,Idle
-0.001,0.009,1.025,1.076,-3.614,-0.892,Idle
-0.002,0.009,1.024,1.067,-3.640,-0.901,Idle
-0.003,0.009,1.025,1.085,-3.622,-0.945,Idle
-0.001,0.008,1.027,1.085,-3.640,-0.901,Idle
-0.001,0.008,1.025,1.041,-3.640,-0.919,Idle
-0.002,0.009,1.024,1.041,-3.596,-0.928,Idle
-0.002,0.009,1.025,1.138,-3.640,-0.928,Idle
-0.000,0.008,1.026,1.120,-3.640,-0.910,Idle
-0.001,0.009,1.026,1.102,-3.631,-0.892,Idle
-0.001,0.009,1.025,1.059,-3.640,-0.866,Idle
-0.001,0.009,1.025,1.076,-3.622,-0.866,Idle
-0.001,0.009,1.024,1.076,-3.658,-0.928,Idle
-0.001,0.009,1.025,1.067,-3.640,-0.928,Idle
-0.001,0.009,1.025,1.050,-3.649,-0.928,Idle
-0.001,0.010,1.026,1.094,-3.640,-0.980,Idle
-0.002,0.009,1.026,1.067,-3.622,-0.928,Idle
-0.002,0.010,1.026,1.085,-3.622,-0.936,Idle
0.000,0.008,1.023,1.094,-3.640,-0.954,Idle
0.001,0.009,1.025,1.138,-3.640,-0.928,Idle
-0.001,0.009,1.025,1.120,-3.631,-0.980,Idle
-0.003,0.009,1.025,1.076,-3.596,-0.962,Idle
-0.001,0.009,1.024,1.076,-3.649,-0.954,Idle
-0.000,0.008,1.026,1.076,-3.666,-0.936,Idle
-0.002,0.009,1.025,1.059,-3.693,-0.901,Idle
-0.003,0.010,1.025,1.041,-3.649,-0.945,Idle
-0.000,0.009,1.024,1.059,-3.614,-0.866,Idle
-0.001,0.009,1.023,1.076,-3.649,-0.936,Idle
-0.002,0.009,1.025,1.102,-3.631,-0.910,Idle
-0.002,0.009,1.026,1.111,-3.588,-0.928,Idle
-0.000,0.009,1.023,1.050,-3.631,-0.936,Idle
-0.001,0.009,1.025,1.111,-3.666,-0.901,Idle
-0.001,0.009,1.026,1.129,-3.666,-0.928,Idle
-0.001,0.010,1.026,1.050,-3.640,-0.928,Idle
-0.001,0.009,1.026,1.094,-3.614,-0.971,Idle
-0.001,0.008,1.024,1.076,-3.631,-0.928,Idle
-0.000,0.009,1.027,1.129,-3.684,-0.936,Idle
-0.001,0.009,1.024,1.085,-3.596,-0.919,Idle
-0.001,0.009,1.025,1.111,-3.614,-0.945,Idle
-0.001,0.009,1.025,1.050,-3.640,-0.928,Idle
-0.001,0.009,1.026,1.076,-3.622,-0.954,Idle
-0.000,0.009,1.026,1.067,-3.631,-0.928,Idle
0.000,0.010,1.023,1.041,-3.570,-0.954,Idle
0.000,0.008,1.025,1.094,-3.605,-0.945,Idle
-0.003,0.009,1.027,1.094,-3.614,-0.910,Idle
-0.002,0.010,1.026,1.059,-3.658,-0.928,Idle
0.000,0.009,1.024,1.111,-3.631,-0.919,Idle
-0.000,0.009,1.026,1.102,-3.675,-0.936,Idle
-0.002,0.010,1.026,1.059,-3.614,-0.971,Idle
0.000,0.009,1.026,1.085,-3.614,-0.962,Idle
0.000,0.009,1.025,1.094,-3.640,-0.928,Idle
-0.001,0.009,1.025,1.059,-3.579,-0.919,Idle
-0.001,0.010,1.025,1.050,-3.666,-0.936,Idle
-0.000,0.009,1.027,1.076,-3.640,-0.954,Idle
0.001,0.010,1.024,1.094,-3.622,-0.919,Idle
-0.003,0.010,1.026,1.085,-3.614,-0.936,Idle
-0.003,0.010,1.024,1.094,-3.640,-0.936,Idle
0.001,0.008,1.025,1.085,-3.631,-0.919,Idle
-0.000,0.009,1.026,1.059,-3.658,-0.919,Idle
-0.001,0.009,1.025,1.094,-3.649,-0.962,Idle
-0.000,0.009,1.025,1.102,-3.649,-0.928,Idle
-0.001,0.009,1.025,1.102,-3.605,-0.901,Idle
-0.000,0.008,1.025,1.067,-3.649,-0.928,Idle
-0.002,0.010,1.026,1.129,-3.649,-0.919,Idle
-0.001,0.010,1.025,1.085,-3.596,-0.954,Idle
-0.001,0.009,1.025,1.094,-3.631,-0.954,Idle
-0.001,0.009,1.025,1.094,-3.649,-0.971,Idle
-0.001,0.009,1.024,1.102,-3.658,-0.971,Idle
-0.001,0.009,1.026,1.111,-3.640,-0.936,Idle
0.000,0.009,1.025,1.085,-3.649,-0.945,Idle
-0.001,0.009,1.024,1.067,-3.622,-0.945,Idle
-0.002,0.009,1.025,1.059,-3.631,-0.954,Idle
-0.001,0.010,1.025,1.085,-3.596,-0.928,Idle
-0.000,0.009,1.026,1.067,-3.640,-0.928,Idle
-0.000,0.009,1.026,1.076,-3.658,-0.901,Idle
-0.001,0.009,1.025,1.094,-3.614,-0.919,Idle
-0.001,0.009,1.025,1.085,-3.649,-0.910,Idle
-0.000,0.010,1.025,1.111,-3.605,-0.945,Idle
-0.000,0.010,1.026,1.085,-3.693,-0.962,Idle
-0.001,0.009,1.025,1.076,-3.622,-0.919,Idle
-0.002,0.010,1.026,1.085,-3.666,-0.962,Idle
-0.000,0.009,1.024,1.094,-3.640,-0.928,Idle
-0.001,0.009,1.026,1.102,-3.614,-0.910,Idle
-0.001,0.010,1.025,1.085,-3.631,-0.936,Idle
-0.001,0.009,1.027,1.094,-3.614,-0.928,Idle
-0.003,0.009,1.024,1.120,-3.605,-0.901,Idle
-0.001,0.008,1.026,1.085,-3.675,-0.962,Idle
-0.001,0.009,1.025,1.033,-3.622,-0.919,Idle
-0.000,0.010,1.026,1.041,-3.640,-0.884,Idle
-0.001,0.009,1.026,1.085,-3.622,-0.945,Idle
-0.001,0.009,1.026,1.102,-3.675,-0.936,Idle
-0.002,0.009,1.026,1.041,-3.614,-0.919,Idle
-0.001,0.010,1.026,1.085,-3.622,-0.910,Idle
-0.001,0.010,1.026,1.076,-3.640,-0.945,Idle
-0.001,0.010,1.026,1.111,-3.675,-0.901,Idle
-0.000,0.009,1.026,1.102,-3.684,-0.928,Idle
-0.001,0.009,1.025,1.102,-3.631,-0.962,Idle
-0.001,0.009,1.025,1.094,-3.640,-0.919,Idle
-0.001,0.009,1.026,1.120,-3.631,-0.928,Idle
-0.001,0.009,1.025,1.102,-3.605,-0.954,Idle
-0.001,0.010,1.026,1.076,-3.605,-0.919,Idle
-0.001,0.009,1.026,1.059,-3.631,-0.928,Idle
-0.002,0.009,1.026,1.067,-3.622,-0.919,Idle
-0.002,0.010,1.027,1.120,-3.622,-0.928,Idle
-0.000,0.009,1.024,1.024,-3.631,-0.945,Idle
-0.001,0.009,1.025,1.120,-3.649,-0.928,Idle
-0.001,0.009,1.026,1.050,-3.614,-0.910,Idle
-0.001,0.010,1.027,1.076,-3.622,-0.954,Idle
-0.001,0.009,1.026,1.111,-3.622,-0.910,Idle
